group,category_name,category_name_full,reference,name,filename,min_wavelength,max_wavelength,filename_no_ext
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),SF56A,SF56A,glass/schott/SF56A.yml,0.37,2.5,SF56A
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),SF57,SF57,glass/schott/SF57.yml,0.37,2.5,SF57
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),SFL57,SFL57,glass/schott/SFL57.yml,0.39,2.5,SFL57
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),SF66,SF66,glass/schott/SF66.yml,0.39,2.5,SF66
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),SF57HTultra,SF57HTultra,glass/schott/SF57HTultra.yml,0.37,2.5,SF57HTultra
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),N-SF1,N-SF1,glass/schott/N-SF1.yml,0.37,2.5,N-SF1
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),N-SF2,N-SF2,glass/schott/N-SF2.yml,0.365,2.5,N-SF2
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),N-SF4,N-SF4,glass/schott/N-SF4.yml,0.365,2.5,N-SF4
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),N-SF5,N-SF5,glass/schott/N-SF5.yml,0.37,2.5,N-SF5
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),N-SF6,N-SF6,glass/schott/N-SF6.yml,0.37,2.5,N-SF6
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),N-SF6HT,N-SF6HT,glass/schott/N-SF6HT.yml,0.37,2.5,N-SF6HT
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),N-SF6HTultra,N-SF6HTultra,glass/schott/N-SF6HTultra.yml,0.37,2.5,N-SF6HTultra
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),N-SF8,N-SF8,glass/schott/N-SF8.yml,0.37,2.5,N-SF8
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),N-SF10,N-SF10,glass/schott/N-SF10.yml,0.38,2.5,N-SF10
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),N-SF11,N-SF11,glass/schott/N-SF11.yml,0.37,2.5,N-SF11
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),N-SF14,N-SF14,glass/schott/N-SF14.yml,0.365,2.5,N-SF14
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),N-SF15,N-SF15,glass/schott/N-SF15.yml,0.37,2.5,N-SF15
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),N-SF19,N-SF19,glass/schott/N-SF19.yml,0.37,2.5,N-SF19
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),N-SF56,N-SF56,glass/schott/N-SF56.yml,0.38,2.5,N-SF56
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),N-SF57,N-SF57,glass/schott/N-SF57.yml,0.37,2.5,N-SF57
glass,SCHOTT-SF,SCHOTT - SF (Dense flint),N-SF57HT,N-SF57HT,glass/schott/N-SF57HT.yml,0.37,2.5,N-SF57HT
